,text,favourite_count,retweet_count,created_at
17,"https://t.co/Y0F1yHlRB6 İsrail Sağlık Bakanlığı, Delta varyantının yayıldığı ülkede 6 Haziran'dan bu yana Pfizer/BioNTech aşısının etkinliğinin yüzde 64'e düştüğünü duyurdu.",0,0,2021-07-09 23:40:24
18,"Ülkede pozitif çıkarmadığınız,aşılanmamış insan mı bıraktınız?! Hepsini biontech’e kullandınız.
#AzerbayCANımızaDokunma 
#ÖğrencilerimizDenekDeğil https://t.co/34YrE2R7Rq",3,0,2021-07-09 23:39:50
19,Biontech'in kurucularından Özlem Türeci'den çarpıcı 3.doz açıklaması https://t.co/ddNXg5f0yD,2,0,2021-07-09 23:38:24
20,BionTech firmasının kurucuları Uğur Şahin ve Özlem Türeci mezuniyet törenine “onur konuşmacısı” olarak katıldılar https://t.co/LNyNyxzFcd,4,0,2021-07-09 23:38:04
21,"@Alya57561379 @mehmetceyhan23 Benim arkadaşım atlara, kedi ve köpeklere karşı çok yüksek alerjisi vardı ve 2 doz Biontech yaptırdı Kanada da. Gayet iyi. Yaşı 56",2,0,2021-07-09 23:37:50
22,Biontech olduk hata mı ettik bilen var mı konuyu anlamadım ? #Sinovac,0,0,2021-07-09 23:37:38
23,Sağlık Bakanı biontech aşısınında uzun vadede etkileri bilinmiyor demişti Onlar da tedirgin olsa iyi olur #Sinovac,3,0,2021-07-09 23:35:35
24,"EN GÜVENİLİR #aşı hangisi ?
#Sinovac #biontech #SputnikV",1,1,2021-07-09 23:35:27
25,"Pfizer-Biontech'ten yapılan açıklamada İsrail Sağlık Bakanlığı'nın verilerine göre, aşılama sonrasındaki altı ay içinde aşının bulaşmayı ve semptomatik hastalığı önlemedeki etkinliğinin azaldığı, ancak ağır hastalığı önlemedeki etkinliğinin hala yüksek olduğu belirtildi.",0,0,2021-07-09 23:34:41
26,Yaz doktor 5 doz biontech https://t.co/Es0UrOZRCv,0,0,2021-07-09 23:34:14
27,Bu yıl satacakları 1.6 milyar doz aşıdan böyle bir kazanç bekliyorlar. BioNTech'in 18 ay içerisinde 13 dolardan 211 dolara yükselen hisseleri sonrasında da şirketin piyasa değeri 3.81 milyar dolardan 50.45 milyar dolara yükseldi. #COVID19 #Biontech #Pfizer #asi,0,0,2021-07-09 23:34:00
28,"@AlevYLmz1 Sinovac'tan karlı işler yakalanamadi. Biontech üstünden ekmeğini yemeye bakacaklar.
Mesele koruyuculuk değil.",2,0,2021-07-09 23:33:48
29,"Avrupa İlaç Ajansı EMA da şu anki aşı rejiminin yeterli olduğuna inandıklarını vurguladı.

Pfizer-Biontech'ten yapılan açıklamada İsrail Sağlık Bakanlığı'nın verilerine göre, aşılama sonrasındaki altı ay içinde aşının bulaşmayı ve semptomatik hastalığı",0,0,2021-07-09 23:33:02
30,@gazetesozcu Biontech olunsun diye mi?,0,0,2021-07-09 23:32:46
31,Pfizer-Biontech'in ABD ve Avrupa'da üçüncü doz takviye aşısının yapılabilmesi için izin başvurusunda bulunacağını açıklamasının ardından Amerikan Gıda ve İlaç Dairesi FDA ve Hastalık Kontrol ve Önleme Merkezi CDC bu aşamada üçüncü doza gerek olmadığını açıkladı,0,0,2021-07-09 23:32:29
32,@SASNEA6952 @parasizceo @OpDrBilgehan nedense bi sizin etrafınızdakilere bişey oluyo benim etrafımdakilere bişey olmadı bir çok tanıdığım insan biontech oldu,0,0,2021-07-09 23:32:23
33,aşi karşitlari aşi olmayacaklarsa kedoşkolar aşilansin litfin. burdan yetkili abilere sesleniyorum ay novoluur #Biontech #Sinovac,2,0,2021-07-09 23:31:57
34,"https://t.co/1hv4P5dg69 Pfizer-Biontech 3. doz takviye aşısı için izin başvurusu yapacaklarını açıkladı, ABD'li ve Avrupalı denetleme kurumları 'Şu anda üçüncü doz aşıya gerek yok' dedi.",0,0,2021-07-09 23:31:56
35,"Dünya aşı patentlerini kaldıralım tartışmaıs yaparken, ABD'li aşı karteli Pfizer ve Alman BioNTech firmalarının 2021 kar beklentileri, bunun neden imkansız olduğunu gösterdi. 2021 yılı başında bu yıl 15 milyar dolar kazanırız diyen iki firma, rakamı 26 milayr dolara yükseltti.+++",3,0,2021-07-09 23:31:10
36,@uyanhadi_ Bugün öğrendim ki biontech olan biri felç olmuş.,0,0,2021-07-09 23:31:07
37,"@yleBiri03390544 O kadar çok kapanma istiyor ki, bunu bi yere kapasak, sabah sinovak- öğlen biontech- akşam tukovac vursak🤔",37,0,2021-07-09 23:30:47
38,@EMRAHKIRIMLI @Doctorxy2 Sinovac neden durduruldu? Aşı ilk çıktığında bulduğunuz asiyi olun diyorlardı şimdi bu biontech ısrarı neden?,1,0,2021-07-09 23:29:29
39,Devlet hastanesinde Biontech aşısı için randevusuz aşı yapıyorlar gelen geçeni tak tak aşılıyorlar ama sinovac için randevu isteniyor? Sebebi ne çok merak ettim #Sinovach,0,0,2021-07-09 23:29:16
40,"@DouglasKeshing4 @drfahrettinkoca Ben bir hafta sonra 2. doz sinovac aşımı olacağım,şimdi bu durumda kafamız karışıyor maalesef,biontech aşısı olmak istemiyorum,bekleyeceğiz mecburen.
Sağlık Bakanı @drfahrettinkoca bir açıklama yapmalı ki ne olduğunu bilelim,çünkü millet elli bin tane komplo teorisi üretiyor 🙂.",0,0,2021-07-09 23:28:08
41,Biontech aşısı oldum 2 gün sonra kan testi yaptırdım kanımda ÇİP çıktı!!! Aşı olmayin kanımıza çip enjekte etmişler ... salak.misiniz ya siz gidin olun aşınızi size çip takip ne yapsınlar ya siz Rus mafyası misiniz mk,1,0,2021-07-09 23:26:41
42,@Busrabetulk Daha bismillah. Ben biontech olalı 3 ay oldu hala bekliyorum acaba ne çıkacak diye :D,0,0,2021-07-09 23:26:20
43,"@XHNews @DeryaTR_ 
Söylemiştim hocam 3. Aşı Biontech 6 ay sonra. Şimdi kime inanacağaz ? #UğurŞahin mi #CDC mi?",0,0,2021-07-09 23:23:55
44,@namliadam Rastlamadım yani merak edenler için biontech oldum.,0,0,2021-07-09 23:23:39
45,bana 4-5 doz anca etki eder fazla biontech’i olan var mı,3,0,2021-07-09 23:23:16
46,@Sare90430168 Neredeyse hepsi koşa koşa aşı oluyor çevremden biliyorum hatta 2 doz biontech olduk çiplendik diye falan espiri yapıyorlar,0,0,2021-07-09 23:23:15
47,"@MineElift @bengibaser Bugüne kadarki büyük salgınları bitiren aşıların her biri ilk uygulandığında bu belirsizlik vardı. Ayrıca, BioNTech aşısında grafenoksit olduğuna dair iddia tamamen asılsız bir sosyal medya haberi. Bir tane ciddi kaynak yok. Anlaşamadık ama görüşünüze saygım var. İyi akşamlar",0,0,2021-07-09 23:23:11
48,Kolum yavaştan işlevini yitirmeye başladı biontech ağrısı şaka değilmiş uyuycam hemen,2,0,2021-07-09 23:22:40
49,@korcanayata Korcan Bey pfizer/biontech aşısınında makalesini yayınlayabilir misiniz elinizde mevcutsa..,0,0,2021-07-09 23:21:45
50,"Bu akşam biontech aşısını yaptırdım. İçindeki çip berbat, işlemcisi yetersiz ve GPU çok ısınıyor. Ayrıca Bluetooth ismini de değişemiyorsunuz. Kısaca vasat bir çip yerleştirmişler. Puanım 4/10",23,0,2021-07-09 23:21:45
51,"@bayanmichell @antihistamink Bende başta tereddüt ettiğim için yazmak istedim; bebeğim 1 aylıkken biontech ilk doz oldum, bu hafta içi 2. Doz aşımı olacağım. İlk doz sonrası herhangi bir yan etki ile karşılaşmadım. Aşı olduğum gün dahil emzirmeye devam ediyorum👍",3,0,2021-07-09 23:18:30
52,@orhnakdgn2 İşin garip yanı iki doz sinovac olanlar 3. Dozu biontech olmalıymış ama iki doz biontech olanlara 3. Doza gerek yokmuş 😏 o kadar saçma sapan bir durum ki,0,0,2021-07-09 23:18:18
53,@OpDrBilgehan Çin aşılarının yasaklandığı söyleniyor Amerikalılar herkese Bıontech yapıştıracak ✋,0,0,2021-07-09 23:17:06
54,"Ananıda al da git karınıda al da gel

#tureci #Biontech",1,0,2021-07-09 23:16:31
55,Ee yeri gelmişken Biontech'in de #Sinovac gibi zararlı etkilerini öğrendiğinizde bunun da mı kullanımını durduracaksınız?,1,0,2021-07-09 23:16:15
56,@AhmetBeyefendi Fransa’nın iade ettiği aşılarsa ve son kullanma tarihi Eylül sonu ise AVM bahçelerine bile biontech çadırı kuruyorlar,2,0,2021-07-09 23:15:18
57,"Şimdi benim anlamadığım şey;aşı olmadan önce de tehdittik,aşı olsakta tehdit olmaya devam ediyoruz.Bazı insanlarda da biontech alerji yaptığı icin sinovak vuruldu.O zaman niye bu aşıyı ayırdınız? Madem biri zararlı ve bunları öğrenmeden neden vurulun diye bağırdınız? #Sinovac",2,1,2021-07-09 23:15:05
58,Bir de bakmışsın #Biontech de kaldırılmış. Deney bu ya! #Sinovac,2,0,2021-07-09 23:14:36
59,@eskisehirhiyari biontech mi yaptırdın?,0,0,2021-07-09 23:14:03
60,@evrimkuran Ayrıca gerekli olmasa eşini neden çağırsın? Evde parti vermek için eşini de davet etmiş olamaz değil mi? Yalnızca cümleyi kısaltmış ve zaten kadınlar olarak hak ettiğiniz de bu!  BionTech aşısını olanların başına bir gelecek ama dur bakalım. Uğur beyin fenotipinden fal baktım.!!!,0,0,2021-07-09 23:12:09
61,@secretofrain undineeeee biontech sonrası fena gitti 😌😌,1,0,2021-07-09 23:11:44
62,"Biontech 2, kolumu alsaydın kardeşim",1,0,2021-07-09 23:11:33
63,Yaa ama biontech yan etki çok diye sinovac oldum ne demek  bi serisi durduruldu ya ben o seriden olduysam biri bizi aydınlatsın lütfen 🙄#Sinovac,6,0,2021-07-09 23:10:04
64,Biomdaki b harfini biontech aşısı oldum diye yazdım bana bu konuda başka soru sorma ltfen,6,0,2021-07-09 23:08:34
65,"#Sinovac niye yasaklandı aşı olacaktım. ben biontech olmak istemiyorum.
@drfahrettinkoca",1,0,2021-07-09 23:08:30
66,Sabah aşı(biontech) olmaya gidicem bir tık gerginim ama eninde sonunda  aşı olacağım için beklemenin ne anlamı var diyerek hemen randevu aldım jslajspsaü inşallah annemler gibi sadece kol ağrısıyla atlatırım,3,0,2021-07-09 23:07:43
67,profilimde yazan b harfini biontech aşısı oldum diye koydum sormayın artık 😡😡,65,0,2021-07-09 23:07:07
68,#Sinovac varyantlara karşı düşük koruma sağlıyor ama yan etkileri daha az gibi ? Biontech ciddi yan etkileri var ama uzun vadede ne olacak  bilinmiyor. 3 doz sinovac en iyi çözüm şimdilik,3,0,2021-07-09 23:05:19
69,@gsirma Dün akşam saat 5 gibi arkadaşım 2. doz biontech aşısını oldu ve akşam saat 10 11 gibi inanılmaz bir ağrısı oldu ve bugün gün boyu halsiz öksürük ateş ağırlarının olduğunu söyledi doktor arkadaşımız ile görüştük normal olduğunu olması gerekenin olduğunu belirtti,2,0,2021-07-09 23:03:54
70,@muammercengil Sinovac sadece bir serisini durdurdu. Çin aşıları zaten dünyada onay alamıyor. Biontech ya da moderna gibi aşılar oldukça etkili. Hiçbir istatistik bilmeyen birisi worldmeter’i açtığında bile ölümler ve vakalara bakarak bunu kolayça çıkarsar. Ülkemizde bu badireyi aşı ile aşacak.,1,0,2021-07-09 23:02:41
71,"Birinci dozu olduktan sonra pişman olup ikinci dozu olmak istemeyenler çoğaldı.İkinci dozu olmayacağım,ilkinde 6. gün acillik oldum 🤦🏼‍♀️
Aşıdan zarar görenleri kimse gündeme getirmek istemiyor.

#Sinovac
#Biontech",618,169,2021-07-09 23:02:30
72,@Antiergen1 @one_star_clever @Orhan34441 @drfahrettinkoca Taksm ilk yrdmda ytıyor dedğm gibi olnlrda inşllh enazyan etkyle atltır biontech olarak cvrmde bu var  ikidoz sinovac snrsı corona olup ölen  yoğun bakıma annsi grsn die sğlkçı bi arkdşı aradık ddiğini söyleyyim bu gençler arştırmdan nasıl biontch olyr  30 yaş alti olmasın diyor,0,0,2021-07-09 23:01:45
73,"Norveçli birçok kadın, Biontech/Pfizer aşısı olduktan sonra göğüslerinde büyüme gözlemlediğini sosyal medya üzerinden belirtti.",1,0,2021-07-09 23:00:22
74,"Şu Delta, Beta, Lambda varyantlarında tam olarak ne gibi bir değişim olduğunu, neden daha tehlikeli olduğunu anlatıyorlar mı televizyonlarda? Yoksa halka yine geri zekalı muamelesi yapıp, siz kafa yormayın dediğimizi yapın yeter mi diyorlar?
#ÖzlemTüreci
#Biontech
#Sinovac",3,0,2021-07-09 23:00:12
75,"Hadi yine iyisiniz Pfizer deney sıvılarını güncellemiş delta varyantı için yepyeni bir aşı yapmış. Ağustosta deneyler başlıyormuş şimdiden randevunuzu alın :)
#Sinovac #Biontech

https://t.co/q8RJdkeBEQ",2,0,2021-07-09 22:59:24
76,@dr_sarper @Mujdegulkaraca 50 yaş üstü 3. dozu sinovac mı olsun biontech mi umarım görüp cevap verirsiniz,1,0,2021-07-09 22:59:11
77,"Ben sağlıklı biriyim aşıdan sonra sağlığımın bozulmayacağı ne malum aşınızı olmuyorum denek değilim
#Biontech
#Sinovac
#BioNtechPfizer 
#denekdeğilim",4,0,2021-07-09 22:59:04
78,"@evrimkuran Bana çekinmeden dava açın. Tüm Twitter'daki ahlaksız ve seküler hedonizmini temsilen yapın bunu! Bak terbiyesiz kadın Cümle şöyle; ""En yakın zamanda Uğur Şahin ve eşi misafirimiz olacaklar. Böylece BioNTech'te çok daha seri bir adım atma fırsatını da yakalayacağız""",0,0,2021-07-09 22:58:44
79,"Sizi sakat bırakan birinden, tedavi beklemek gibi #Sinovac . Adamsın #Biontech &lt;3",1,0,2021-07-09 22:56:07
80,"@21aliyusuf @CaKizil Ben 1.dozu Astra zeneca, 2. Sözü Biontech olsun turp gibiyim",0,0,2021-07-09 22:55:22
81,@UzunCabbar1 @erenserap @CaKizil 2 sinovac 1 biontech tek burda var. Herkes zaten baştan 2 biontech diyordu. Dünyada kafa karışıklığı yok. Orası net. Burda herşey çorba oldu. Ama buna rağmen hala protokoller net ve belli,0,0,2021-07-09 22:55:07
82,Pfizer - BioNTech ve Astrazeneca’nın etkinlik oranları açıklandı https://t.co/7u6IiNZUfJ https://t.co/dG3mC4brJt,0,1,2021-07-09 22:55:04
83,"Norveçli birçok kadın, Biontech/Pfizer aşısı olduktan sonra göğüslerinde büyüme gözlemlediğini sosyal medya üzerinden belirtti.",5,0,2021-07-09 22:53:23
84,"@aidanergiz @walkinstraight COVID-19, ilk olarak Ocak 2020'de ABD tarafından daha sonra da bir çok ülke (TR dahil) izole edildi. EMA ve FDA tarafından da Biontech aşısı ruhsatlandırılmıştır. Ülkemizde ayrıca ruhsatlandırılmasına gerek yoktur FDA onayı yeterlidir.",1,0,2021-07-09 22:52:54
85,@acikistihbarat Türkiye helen aşıları biontech üretiyor. Pfizer lr alakası yok,0,0,2021-07-09 22:51:56
86,"Bakalım gelecek zamanda biontech aşısı  içinde toplama kararı alınacak mı ?
#Sinovac",0,0,2021-07-09 22:49:50
87,çip yalanmış kankalar biontech olduk almanca yok hala,0,0,2021-07-09 22:48:58
88,"@CaKizil Çağhan Bey, 8 ay önce covid geçirdik. İlk doz BioNTech aşılarımızı Haziran ayında olduk eşimle. İkinci hakkımız tekrardan tanımlandı. Hemen olmalı mıyız yoksa bir süre (örneğin 1 ay kadar) ertelememiz daha mı doğru/sağlıklı olur?",1,0,2021-07-09 22:48:21
89,Resmen ters algı.Bu haberi gören kızlar biontech sırasına girecekler net... https://t.co/BslzZ4eP47,1,0,2021-07-09 22:47:41
90,"@AhmetBeyefendi Ne alaka ya, henuz her ulke ayni asiyi vuruyor. Avusturyada yeni biontech asisi vurulmuyor ve halen ellerindeki stoku bitirmek icin genclerde ciddi yorgunluk yapan AstraZeneca yi da uyguluyorlar.",0,0,2021-07-09 22:47:38
91,ne sinovac ne biontech ben bir tech sana vuruldum,0,0,2021-07-09 22:46:05
92,"#Sinovac aşısı durduruldu 
Darısı #Biontech aşısına 
Aşı faşizmini dayatanlar yargılansın! 
Yandaş medyalar, siyasiler, Stklar, sözde doktorlar bukalemun gibisiniz
Yanlış tedavilerle, aşılarla yan etkilerin /ölümlerin hesabını verin!",2,0,2021-07-09 22:46:00
93,Bu soruyu Yüce Pfizer Hazretlerine sorma cüretini nasıl gösterebiliyor bu gazeteci kadın? Sana ne kendi aşısını olmayan Pfizer CEO'sundan! BionTech'in Türk dahisi kendi aşısını vuruldu mu sanki? Lütfen insanları laboratuvar faresi yerine koyan Nazi düzenine karşı haber yapmayın. https://t.co/keexvSOH8W,14,3,2021-07-09 22:45:48
94,"#Sinovac serisi aşı yasaklanmış ya. Acaba yarın #Biontech aşısının bilmem ne serisi de yasaklanır mı? 

Peki #Sinovac neden iptal oldu? 

Aşı vurulanlar nolucak? 

Aşılar 6 ay geçerliyse,varyantlar için daha fazla doz vurulur mu? 

Peki o vurulan dozlarda iptal olur mu? Bukadar😊",0,0,2021-07-09 22:45:21
95,@Antiergen1 @one_star_clever @Orhan34441 @drfahrettinkoca 22 yaşında tanıdığım biontech 1. Dozdan sonra  halsizlik ateş ve nefes alamamaya başlıyor şuan 2 gündür yoğun bakımda Rabbim tüm hastalara şifa versin aşı olanlarda en az yan etkiyle atlatsın,0,0,2021-07-09 22:45:10
96,"2 doz aşı biontech olduk 3 çıktı , 3 olacaz 4 çıkar !
Brezilya dizisi, Türk dizisine döndü bu iş .",1,0,2021-07-09 22:45:10
97,"@CaKizil Sputnik V ülkeye geldi. 30 gün oldu neredeyse. Ortada yok. Ses yok, sonuçlar belirsiz. Bu durum zaten güven vermiyor. Bir profesör de nerede bu aşılar demiyor. Varsa yoksa Biontech.",1,0,2021-07-09 22:45:03
98,"@Random54303372 Biontech oldum ben çift doz , sıkıntı yok 👍🏽",1,0,2021-07-09 22:44:35
99,2 gun sonra biontech olucam kendime ettigim no horyness sozu bozulcak gibi,16,0,2021-07-09 22:44:33
100,@Miryokefalon8 biontech ol biontech zaten simdi olmasan max 3 ay sonra surune surune asi olacaksin 😀😀😀,0,0,2021-07-09 22:44:21
101,@arabeskefem Bu yüzden Sinovac oldum.. ihtiyacı olanlar biontech kullansın.. HSKKFFJF,2,0,2021-07-09 22:43:31
102,@bpthaber Küçük memeliler Biontech sırasında,0,0,2021-07-09 22:42:59
103,"@_3metrebeyazbez Biontech ise , bu tip yan etki görülebiliyomuş 🤔",0,0,2021-07-09 22:42:01
104,@sampiyon777777 @drfahrettinkoca Biontech olanın yakalama ihtimali çok düşük Sinovac gibi değil bulaşmayi da kesiyor,0,0,2021-07-09 22:41:36
105,@DeryaTR_ @cagataymagaraci Hocam nörolojik geçmişi olanlar için 3. Dozu biontech yaptırmanın bi riski var mıdır?,0,0,2021-07-09 22:41:04
106,"@OpDrBilgehan Iyi okuyunuz. Sorumluluk bizde değil diyen üretici firma yani Pfizer. biontech degil.
Biontech üretici firma değil. Üretici firma Pfizer.
Dikkatli okuyun.",0,0,2021-07-09 22:40:46
107,dün ası(biontech) olduktan sonra canım acaiipppp derecede icki cekti alman degilsin dieenler utanır umarım,8,0,2021-07-09 22:40:36
108,@nyksvio iyi ki biontech olmusum,1,0,2021-07-09 22:40:16
109,"Özlem Türeci.
(Alman immünolog, girişimci, akademisyen ve bilim insanı,BioNTech biyoteknoloji firmasının kurucularından)
Birinin eşi değil.
ÖZLEM TÜRECİ.

Emine Erdoğan'ın eşi konuşmuş. Yine olmamış. https://t.co/SGawKNR8Lg",0,0,2021-07-09 22:39:51
110,"Özlem Türeci ve Uğur Şahin kendi buldukları Biontech aşısından vuruldular mı?

"" Biji Serok Erdoğan "" 
#hevesbırakmadınız
#MeseleGeçim
#Sinovac https://t.co/l499PciAm3",0,1,2021-07-09 22:38:20
111,@bpthaber türk ergen kızlar Biontech Aşısı Olmaya Gidiyor https://t.co/EY1yHKJeHn,72,0,2021-07-09 22:37:00
112,@bpthaber sevgilimin 3.doz aşısı biontech :),2,0,2021-07-09 22:36:52
113,"#Sinovac
#Biontech 
#BurcuOEzberk 

Aşının hiç bir tehlikesi yok diyenler.. https://t.co/MyTgNNScj9",0,0,2021-07-09 22:36:47
114,@nabersinos öyle olur muhtemelen de biontech olmak istiyordum bitecek muhtemelen:(,1,0,2021-07-09 22:36:44
115,bim çiğ köftesini ayıla bayıla yiyen kuzenlerim biontech mi daha güvenilir sinovac mı tartışması yapıyor şu an,6,0,2021-07-09 22:36:40
116,"Pfizer-Biontech aşısına sadece Biontech denmesi, resmî kanallarda da, sanırım batı düşmanlığımız, özellikle abd, cahilliğimiz ve milliyetçiliğimizden.",1,0,2021-07-09 22:36:32
117,@bpthaber iste simdi biontech olabilirim,243,0,2021-07-09 22:35:59
118,Ne #Sinovac Ne de #Biontech oldum. #COVID19 da olmadım çünkü dikkat ediyorum. O yüzden daha aşı olmayı düşünmüyorum. Herkes bi olsun bakarız.,1,0,2021-07-09 22:35:49
119,@ulkeinceleme biontech etkisini göstermeye basladi,5,0,2021-07-09 22:35:23
120,Biomdaki b harfini biontech aşısı oldum diye yazdım bu konuda daha fazla soru sorma,14,0,2021-07-09 22:34:34
121,"Norveçli birçok kadın, Biontech/Pfizer aşısı olduktan sonra göğüslerinde büyüme gözlemlediğini sosyal medya üzerinden belirtti.",3480,47,2021-07-09 22:34:09
122,olum iki dakika durun be kafamızı karıştırmayın biz biontech’e randevu aldık napçaz şimdi #Sinovac,8,0,2021-07-09 22:34:05
123,"@drkaanyl @drkaan Onaylı #Sinovac veya #Biontech veya diğerleri ;neden ülkeler arası seyahatlerde tanınmıyor?Avrupa ülkeleri biontech vurulmadıysan giremezsin diyor. Haberler Şaka mı gerçek mi? @drkaanyl 
Gerçekten aşının artık etkili olmaması da normal değil mi? ÷÷",4,0,2021-07-09 22:33:50
124,Asla umudunuzu kaybetmeyin benimki biontech'ten sonra büyüdü 🙏🏻🙏🏻✨✨🥰 https://t.co/ioWki7zwmd,4,0,2021-07-09 22:33:48
125,"Düşünsenize, Özlem Türeci aşıyı tek başına bulsa ülkeye davet edemeyecekler. Çünkü adını söyleyemiyorlar. #OzlemTureci #Biontech",1,0,2021-07-09 22:33:40
126,"İkinci doz aşımı yaptırma konusunda düşünceliyim? Yaşadığım O yan etkileri tekrar yaşama hissi ürpertiyor !
#Biontech",4,0,2021-07-09 22:33:18
127,Pfizer / BioNTech aşının 2. dozunu dün oldum. 🩺 Özlem Türeci ve eşi Uğur Şahin’e teşekkür ve sevgilerle 💜 #Biontech #özlemtüreci #AkınAkınoezue #BurcuOEzberk #FreePalestine #HerSeyAsktan #HyunjinSKZPlayer #iyigeceler #juanputo #LouisVuitton #Mustafademiristifa,0,0,2021-07-09 22:32:06
128,"Aşı olanları ""süper bulaştırıcısınız"" deyip aşı olduğuna pişman eden #fahrettinkoca 
Şimdi de 
Aşı olmayanlara bulaştırıcısınız deyip tehdit ediliyoruz! Merak ediyoruz siz ne yeyip içiyorsunuz?
Nasıl bir çelişki
Halk bunlara nasıl inanıyor
#BurcuOEzberk #Biontech #Sinovac",2,0,2021-07-09 22:32:01
129,@HilmiYeter7 Oturduğum sitenin yöneticisi biontech yüzünden öldü biz ailecek sinovac yaptık ve hiçbir problemimiz olmadı.,1,0,2021-07-09 22:31:00
130,BionTech aşısını bulan Dr. Özlem Türeci ve eşi Türkiye'ye gelecek.,1,0,2021-07-09 22:29:11
131,biontech kolumu ele geçirdi çip çalışmaya başladı hissediyorum,22,0,2021-07-09 22:28:01
132,@drfahrettinkoca İkinci Biontech aşı konusunda çok kararsız ve tedirginim açıkçası. Sizlerin bu konudaki bilgisi ve fikirleri ne yöndedir dostlar?,0,0,2021-07-09 22:27:59
133,Biontech 2. Doz adamı yamultuyor net bilgi,4,0,2021-07-09 22:27:44
134,BioNtech aşısını olduk. mRNA'lar içimde proteinleri sentezlettiriyor ve sanırım akyuvar hücrelerimde onları afiyetle yiyordur. Sağolun Özlem Hanım ve eşi. :),10,0,2021-07-09 22:26:31
135,#Sinovac mı ?  #Biontech mi ?,2,0,2021-07-09 22:26:30
136,"#Sinovac ‘ın bir partisini, sağlık bakanlığı tarafından piyasadan kaldırtmışlar. Cümlemize rahmet diliyorum. #Biontech sen de yapma bunu bize sakın 😢",2,0,2021-07-09 22:25:59
